,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
147,Dudinka,RU,69.4058,86.1778,31.62,95,100,5.88,overcast clouds
148,Saint-Augustin,CA,51.226,-58.6502,62.47,42,23,9.73,few clouds
149,Stornoway,GB,58.2093,-6.3865,48.16,90,75,25.32,broken clouds
150,Tsabong,BW,-26.0217,22.401,81.88,10,17,10.36,few clouds
151,Bangassou,CF,4.7413,22.8184,74.34,85,61,1.7,broken clouds
152,Kisesa,TZ,-3.0833,34.15,76.93,39,97,10.71,overcast clouds
153,Bossangoa,CF,6.4926,17.4552,73.15,92,98,2.73,overcast clouds
154,Laguna,US,38.421,-121.4238,86.18,54,0,4.61,clear sky
155,Lima,PE,-12.0432,-77.0282,61.05,72,100,5.75,overcast clouds
156,Leh,IN,34.1667,77.5833,48.18,28,0,4.47,clear sky
157,Atar,MR,20.5169,-13.0499,105.85,7,9,16.11,dust
158,Biltine,TD,14.5333,20.9167,93.4,19,86,4.45,overcast clouds
159,Iqaluit,CA,63.7506,-68.5145,33.53,93,100,8.05,light snow
160,Iseyin,NG,7.9667,3.6,75.13,90,98,4.52,light rain
161,Thompson,CA,55.7435,-97.8558,32.16,74,75,14.97,broken clouds
162,Avare,BR,-23.0986,-48.9258,83.12,43,0,3.49,clear sky
163,Oussouye,SN,12.485,-16.5469,86.09,72,65,9.57,broken clouds
164,Guaraniacu,BR,-25.1008,-52.8781,65.23,95,75,5.66,moderate rain
165,Antofagasta,CL,-23.65,-70.4,61.88,61,8,11.05,clear sky
166,Upington,ZA,-28.4478,21.2561,73.78,16,0,5.75,clear sky
167,Adre,TD,13.4667,22.2,82.08,44,97,5.28,overcast clouds
168,Bilma,NE,18.6853,12.9164,93.76,15,12,6.98,few clouds
169,Nacala,MZ,-14.5428,40.6728,72.45,82,0,5.37,clear sky
170,Brigantine,US,39.4101,-74.3646,64.02,88,100,10.36,mist
171,Rawson,AR,-43.3002,-65.1023,68.72,29,0,17.47,clear sky
172,Bahia De Caraquez,EC,-0.6,-80.4167,78.51,69,96,13.09,overcast clouds
173,Luena,AO,-11.7833,19.9167,74.84,24,60,4.23,broken clouds
174,Sheffield,GB,53.383,-1.4659,52.9,84,81,5.01,broken clouds
175,Hatillo,PR,18.4863,-66.8254,89.11,79,58,8.99,broken clouds
176,Turinsk,RU,58.0458,63.696,47.75,63,100,4.79,overcast clouds
177,Waddan,LY,29.1614,16.139,76.75,43,0,13.35,clear sky
178,Cabedelo,BR,-6.9811,-34.8339,83.07,69,6,14.18,clear sky
179,Bathsheba,BB,13.2167,-59.5167,79.41,89,75,33.38,broken clouds
180,Manakara,MG,-22.1333,48.0167,69.85,87,0,10.83,clear sky
181,Posse,BR,-14.0931,-46.3694,93.34,22,82,6.2,broken clouds
182,Kumba,CM,4.6363,9.4469,72.16,97,100,1.63,light rain
183,Uberlandia,BR,-18.9186,-48.2772,85.21,39,40,3.44,scattered clouds
184,Piacabucu,BR,-10.4056,-36.4344,81.27,68,6,8.59,clear sky
185,Salalah,OM,17.0151,54.0924,78.89,83,75,3.44,broken clouds
186,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,80.87,71,13,10.02,few clouds
187,Beloha,MG,-25.1667,45.05,69.06,88,0,4.92,clear sky
188,Alenquer,BR,-1.9417,-54.7383,98.46,31,97,6.82,overcast clouds
189,Havoysund,NO,70.9963,24.6622,46.63,88,100,19.64,overcast clouds
190,Bosaso,SO,11.2842,49.1816,85.42,64,81,1.86,broken clouds
191,Cockburn Town,TC,21.4612,-71.1419,83.75,67,42,4.03,scattered clouds
192,Narragansett,US,41.4501,-71.4495,60.85,76,100,26.46,overcast clouds
193,Sao Filipe,CV,14.8961,-24.4956,79.9,78,53,5.61,broken clouds
194,Rio Grande,BR,-32.035,-52.0986,73.51,70,15,16.8,few clouds
195,Kstovo,RU,56.1473,44.1979,47.59,85,100,6.44,overcast clouds
196,Ostrovnoy,RU,68.0531,39.5131,46.96,91,100,13.42,overcast clouds
197,Nadym,RU,65.5333,72.5167,33.37,86,80,4.65,broken clouds
198,Oksfjord,NO,70.2396,22.3479,44.67,94,100,8.23,overcast clouds
199,Vila Velha,BR,-20.3297,-40.2925,76.95,81,75,9.22,broken clouds
200,Wattegama,LK,6.7989,81.4808,74.77,87,100,4.41,overcast clouds
201,Port-Cartier,CA,50.0334,-66.8654,55.62,81,99,3.96,overcast clouds
202,Ziarat,PK,30.3823,67.7282,56.46,22,0,2.48,clear sky
203,Kavaratti,IN,10.5669,72.642,81.41,79,71,14.36,broken clouds
204,Uvat,RU,59.1433,68.8953,48.13,79,100,3.65,overcast clouds
205,Humberto De Campos,BR,-2.5983,-43.4611,85.15,59,0,12.35,clear sky
206,Gat,IL,31.61,34.7642,77.68,100,0,5.86,clear sky
207,Kruisfontein,ZA,-34.0033,24.7314,57.88,84,51,4.9,broken clouds
208,Andenes,NO,69.3143,16.1194,44.92,81,40,12.66,scattered clouds
209,Agadir,MA,30.4202,-9.5982,70.25,60,81,3.94,broken clouds
210,Turayf,SA,31.6725,38.6637,82.65,28,0,9.22,clear sky
211,Camana,PE,-16.6228,-72.7111,63.57,70,53,11.65,broken clouds
212,Lafiagi,NG,8.8667,5.4167,79.38,83,100,3.15,light rain
213,Riyadh,SA,24.6877,46.7219,84.34,14,1,6.4,clear sky
214,Quatre Cocos,MU,-20.2078,57.7625,71.71,73,38,13,scattered clouds
215,Kadoma,JP,34.7333,135.5833,61.59,72,100,3.44,overcast clouds
216,Bouna,CI,9.2667,-3,78.24,80,100,4.92,overcast clouds
217,Marsa,MT,35.8792,14.4953,72.28,73,20,5.75,few clouds
218,Georgetown,MY,5.4112,100.3354,77.95,96,40,2.3,scattered clouds
219,Tymoshivka,UA,47.1842,35.1088,54.37,58,100,6.13,overcast clouds
220,Holland,US,42.7875,-86.1089,75.16,52,0,10.36,clear sky
221,Praia Da Vitoria,PT,38.7333,-27.0667,68.25,88,75,17.63,light intensity drizzle
222,Saint-Pierre,RE,-21.3393,55.4781,71.28,73,20,13.8,few clouds
223,Keti Bandar,PK,24.1447,67.4497,81.1,76,60,10.63,broken clouds
224,Verkhnya Syrovatka,UA,50.829,34.9586,47.64,86,100,7.78,overcast clouds
