City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Guaratuba,BR,2022-10-04 22:05:29,-25.8828,-48.5747,63.05,82,99,2.77
94,Mahebourg,MU,2022-10-04 22:01:09,-20.4081,57.7,71.26,77,37,11.61
95,Lebu,CL,2022-10-04 22:05:30,-37.6167,-73.65,52.5,92,27,8.61
96,Bara,NG,2022-10-04 22:05:31,10.3744,10.7288,74.41,86,93,5.41
97,Formosa Do Rio Preto,BR,2022-10-04 22:05:31,-11.0483,-45.1931,84.11,23,25,2.8
98,Waddan,LY,2022-10-04 22:05:32,29.1614,16.139,71.35,61,0,13.78
99,Klaksvik,FO,2022-10-04 22:05:33,62.2266,-6.589,49.12,78,3,39.73
100,Dikson,RU,2022-10-04 22:05:33,73.5069,80.5464,33.24,87,100,18.34
101,George,ZA,2022-10-04 22:05:34,-33.963,22.4617,53.28,79,50,3.15
102,Novorudnyy,RU,2022-10-04 22:05:35,51.5026,58.1873,40.08,41,92,5.12
103,Miquelon,PM,2022-10-04 22:05:36,47.0975,-56.3814,50.0,70,0,18.39
104,Pathalgaon,IN,2022-10-04 22:00:44,22.5667,83.4667,71.64,99,100,5.21
105,Marinette,US,2022-10-04 22:05:37,45.1,-87.6307,72.05,49,0,9.22
106,Hrebinka,UA,2022-10-04 22:05:38,50.1171,32.4361,48.04,86,100,14.09
107,Marrakesh,MA,2022-10-04 22:05:39,31.6315,-8.0083,78.87,38,0,6.91
108,Lichinga,MZ,2022-10-04 22:05:39,-13.3128,35.2406,63.99,31,9,6.44
109,Roald,NO,2022-10-04 22:05:40,62.5833,6.1333,54.16,76,100,9.22
110,Jauharabad,PK,2022-10-04 22:01:15,32.2898,72.2813,81.09,37,0,3.6
111,Gori,GE,2022-10-04 22:05:40,41.9842,44.1158,59.94,76,30,2.53
112,Khorixas,NA,2022-10-04 22:05:41,-20.3667,14.9667,68.59,32,0,4.23
113,Ust-Tsilma,RU,2022-10-04 22:05:42,65.441,52.1498,40.82,99,100,3.91
114,Goundam,ML,2022-10-04 22:05:42,16.4145,-3.6708,96.08,12,0,4.76
115,Veraval,IN,2022-10-04 22:05:43,20.9,70.3667,78.93,81,72,10.83
116,Kidal,ML,2022-10-04 22:05:43,18.4411,1.4078,94.87,17,86,9.62
117,Kruisfontein,ZA,2022-10-04 22:05:44,-34.0033,24.7314,51.89,87,76,1.43
118,Terralba,IT,2022-10-04 22:05:45,39.7192,8.6392,66.33,80,4,3.58
119,Goderich,CA,2022-10-04 22:05:45,43.7501,-81.7165,62.91,59,11,4.38
120,Anori,BR,2022-10-04 22:05:46,-3.7728,-61.6442,86.52,47,100,3.02
121,Puerto Quijarro,BO,2022-10-04 22:05:46,-17.7833,-57.7667,88.84,42,47,2.98
122,Marathon,US,2022-10-04 22:05:47,44.9,-89.7668,71.13,45,0,8.05
123,Nuuk,GL,2022-10-04 22:02:10,64.1835,-51.7216,34.41,93,100,15.01
124,Srem,PL,2022-10-04 22:05:48,52.0887,17.0151,49.86,89,63,7.16
125,Asyut,EG,2022-10-04 22:05:48,27.181,31.1837,77.5,40,0,6.78
126,Kibala,TD,2022-10-04 22:05:49,9.1104,18.3463,71.8,95,81,0.98
127,Laguna,US,2022-10-04 22:05:49,38.421,-121.4238,89.31,40,0,8.05
128,Port Alfred,ZA,2022-10-04 22:05:50,-33.5906,26.891,58.17,90,97,14.52
129,Rodrigues Alves,BR,2022-10-04 22:05:51,-7.738,-72.6509,88.12,51,49,4.21
130,Najran,SA,2022-10-04 22:05:51,17.4924,44.1277,71.47,19,2,3.69
131,Saint-Francois,FR,2022-10-04 22:05:52,46.4154,3.9054,51.24,93,100,0.0
132,Ilulissat,GL,2022-10-04 22:05:53,69.2167,-51.1,28.42,69,15,2.3
133,Oksfjord,NO,2022-10-04 22:05:53,70.2396,22.3479,48.38,88,11,14.23
134,Coquimbo,CL,2022-10-04 22:02:52,-29.9533,-71.3436,55.92,73,65,6.51
135,Awbari,LY,2022-10-04 22:05:54,26.5921,12.7805,74.55,35,0,6.42
136,Ostrovnoy,RU,2022-10-04 22:05:54,68.0531,39.5131,45.84,88,80,13.15
137,Valasska Bystrice,CZ,2022-10-04 22:05:55,49.4151,18.1098,43.56,91,61,3.85
138,Gamba,GA,2022-10-04 22:05:55,-2.65,10.0,75.33,83,37,4.81
139,Victoria,HK,2022-10-04 22:06:30,22.2855,114.1577,84.38,84,43,5.99
