,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
390,Eydhafushi,MV,81.66,overcast clouds,5.1033,73.0708,Soneva Fushi
391,Anloga,GH,78.33,clear sky,5.7947,0.8973,Pin Drop Hotel
394,Miranda,CO,81.64,scattered clouds,3.2499,-76.2281,unidiversidad organica la utopia
398,Marrakesh,MA,86.07,overcast clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
400,Berea,US,75.25,few clouds,41.3662,-81.8543,Comfort Inn Cleveland Airport
401,Los Llanos De Aridane,ES,75.13,few clouds,28.6585,-17.9182,Valle Aridane
402,Rawatbhata,IN,78.96,overcast clouds,24.9333,75.5833,Bhainsrorgarh Fort Hotel
408,Najran,SA,83.05,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
416,Jaisalmer,IN,88.34,clear sky,26.9147,70.9181,Hotel Fifu
418,Jimani,DO,87.69,overcast clouds,18.4917,-71.8502,HOTEL LA TORRE
419,Zvishavane,ZW,75.65,clear sky,-20.3267,30.0665,Hotel Boutique Runde
420,Sur,OM,81.88,clear sky,22.5667,59.5289,Sur Plaza Hotel
422,Condega,NI,82.36,overcast clouds,13.365,-86.3985,Estancia Doña Rosario
424,Dingle,PH,76.64,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
430,Jawhar,SO,76.71,few clouds,2.7809,45.5005,Hotel Shabelle
431,Lahij,YE,85.35,overcast clouds,13.1667,44.5833,
437,Umm Lajj,SA,87.58,clear sky,25.0213,37.2685,Moon light Furnished Units
438,Bellary,IN,76.39,overcast clouds,15.15,76.9333,Hotel Pawan
440,Puri,IN,79.32,few clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
445,Mount Pleasant,US,79,clear sky,32.7941,-79.8626,Best Western Patriots Point
447,Kirkuk,IQ,87.1,clear sky,35.4681,44.3922,Cihad Oteli
448,Ardakan,IR,77.56,clear sky,32.31,54.0175,Ardakan Hotel
449,Mabaruma,GY,76.91,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
453,Chiriguana,CO,84.42,overcast clouds,9.3624,-73.6031,Zapatosa Red Turística
454,San Carlos Park,US,88.02,few clouds,26.4673,-81.8015,Embassy Suites by Hilton Fort Myers Estero
455,Bandundu,CD,78.91,overcast clouds,-3.3167,17.3667,Coja Color
458,Ouro Fino,BR,81.23,clear sky,-22.2831,-46.3692,Hotel Fazenda Ouro Park
459,Belmonte,BR,79.39,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
462,Azuaga,ES,79.97,clear sky,38.2667,-5.6833,Casa Rural La Hoya
463,Misratah,LY,75.09,scattered clouds,32.3754,15.0925,Almasa Hotel
464,Luau,AO,78.31,overcast clouds,-10.7073,22.2247,Kimbo Hotel
466,Bhilwara,IN,77.63,broken clouds,25.35,74.6333,Hotel Radiance Bhilwara
468,Birao,CF,77.27,few clouds,10.2849,22.7882,
473,Galle,LK,77.68,overcast clouds,6.0367,80.217,Amangalla
474,Baldeo,IN,77.59,overcast clouds,27.4167,77.8167,Hotel swati Palace
475,Kousseri,CM,84.16,thunderstorm,12.0769,15.0306,Le Pilotis
477,Karwar,IN,76.95,overcast clouds,14.8,74.1333,Netalco Connects
479,Tarsus,TR,77.38,clear sky,36.9188,34.8784,Osmanli Marco Pasha Hotel
481,La Asuncion,VE,82.13,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
482,Mahuva,IN,82.71,overcast clouds,21.0914,71.7622,Hotel Blue Diamond.
485,Umm Bab,QA,86.43,clear sky,25.2142,50.8072,
486,Puerto Ayacucho,VE,84.25,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
488,Elayirampannai,IN,81.59,overcast clouds,9.2667,77.8333,Jesu Hotel
490,Dakar,SN,86.13,clear sky,14.6937,-17.4441,Novotel Dakar
492,Harper,LR,76.73,overcast clouds,4.375,-7.7169,Screensaver
493,Robertsport,LR,80.01,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
494,Odweyne,SO,79.92,overcast clouds,9.4092,45.064,Eng Hiirey House
496,Padang,ID,77.05,moderate rain,-0.9492,100.3543,Mercure Padang
498,Garowe,SO,82.47,overcast clouds,8.4054,48.4845,Curubo Hotel
502,Conde,BR,81.86,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
503,Barroquinha,BR,86.41,overcast clouds,-3.0189,-41.1361,Pousada barroquinha
504,Nouakchott,MR,87.26,overcast clouds,18.0858,-15.9785,HOTEL IMAN
505,Hamilton,US,77.63,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
506,Sawakin,SD,87.53,clear sky,19.1059,37.3321,فندق الدويم
